player_name,team,display_current,display_hybrid,display_65_35_R_A,display_65_35_R_D,rank_current,rank_hybrid,rank_65_35_R_A,rank_65_35_R_D,gain_hybrid,blend_hybrid,z_current,z_share,z_ratio
Hugo Sotelo,Celta Vigo,6.98425299865158,6.086896094073074,5.667157701928874,6.634600887018665,11,20,26,15,-9,0.03548267714158744,0.42571721166852083,-1.1811867249284178,-0.03330776971511674
Tyler Morton,Olympique Lyonnais,5.967072975147962,6.074725991822141,6.168020851550037,5.950041658521989,24,21,19,20,3,0.03050986802621153,-0.013440411234761791,0.221211503930371,-0.03330776971511674
Valentín Barco,RC Strasbourg,6.200803326777518,6.054330197884847,6.02603200211677,6.0920372738024655,20,22,21,18,-2,0.02217922704578285,0.08214480894944468,-0.12219548270855544,-0.04517201486430067
Nemanja Matić,Sassuolo,5.365862462121366,5.979521412370853,6.052658718242408,5.882084249919507,28,23,20,22,5,-0.008358801865422913,-0.2648557556749723,0.5532940177478715,0.3542575718248987
Benjamin André,Lille,6.3042923934613,5.837239539012584,5.869498432281487,5.794317617992443,18,24,25,25,-6,-0.06653083067454063,0.12484559032920357,-0.38418869176641735,-0.47228484023492995
James Garner,Everton,4.9055695657717635,5.774843672125843,6.022234332950606,5.452879163227326,29,25,22,30,4,-0.09216058276801843,-0.48057788498310555,0.9184317495306158,0.24352461709918016
Kévin Danois,Auxerre,4.867060408495734,5.760615928353837,5.952108736014944,5.510199037861652,30,26,24,29,4,-0.09802051021773645,-0.5003906442301483,0.8734399250779222,0.35030282344183666
Nikola Moro,Bologna,5.64740967987947,5.6334484850528295,5.610036159281964,5.6647710264028,26,27,27,26,-1,-0.15074441160996072,-0.14492050313371307,-0.1895301859710897,-0.12426698252552835
Pascal Groß,Brighton & Hove Albion,5.60037579120803,5.605628450748323,5.581874951276213,5.63741780505801,27,28,28,28,-1,-0.16238026497960845,-0.16458201994375543,-0.18677558447398646,-0.1203122341424674
Lamine Camara,AS Monaco,6.158051879211313,5.5349525649205455,5.450414762781257,5.649446480327337,21,29,29,27,-8,-0.19214553766821627,0.06460068625740643,-0.7719753691920141,-0.5316060659808507
Sofyan Amrabat,Real Betis,6.1005338529326565,5.331132580585921,4.870993260491776,6.026647665137496,23,30,32,19,-7,-0.280110243064765,0.04105728023102243,-1.5001083649264226,-0.04517201486430067
Mateus Fernandes,West Ham United,4.3504363413946585,5.218999122824208,5.3642480120393925,5.034589696752444,33,31,30,32,2,-0.33028391960992165,-0.8167394082891659,0.7580527290325791,0.3265743331434688
Nadiem Amiri,1. FSV Mainz 05,4.736893651033243,5.201652552006635,5.096324404231994,5.347328750855143,31,32,31,31,-1,-0.33818502805632916,-0.5702646501242996,-0.046903041787721166,0.279117352546732
Adam Wharton,Crystal Palace,4.202885619597687,4.571076261284588,4.680785072300569,4.437305879454796,37,33,33,34,4,-0.6673502495485102,-0.9362965547379244,0.018901327309755793,-0.4169183628720707
Maximilian Arnold,VfL Wolfsburg,4.307993376386769,4.446992244110579,4.378914666147689,4.54439833409473,35,34,36,33,1,-0.7478770404824994,-0.849130496880069,-0.69668292827118,-0.37737087904145683
Iñigo Ruiz de Galarreta,Athletic Club,4.2646946127164265,4.38891847039158,4.521624461956006,4.234875904820126,36,35,34,38,1,-0.7885455383603246,-0.8837398078803105,-0.35450020896429996,-0.9547641429684185
André,Wolverhampton,3.922295290852058,4.357180549027402,4.462433953843597,4.2322835278044,44,36,35,39,8,-0.811720995976901,-1.2491415356731006,0.21294769943906017,-0.2824569178479837
Pathé Ismaël Ciss,Rayo Vallecano,4.17962307850463,4.268616866635257,4.2889112185725065,4.242278234799128,38,37,37,36,1,-0.8805345090049305,-0.9571680110439692,-0.6914797921099842,-0.8005289560290246
Moi Gómez,Osasuna,4.093006239332113,4.225419019041991,4.1763544793100005,4.2958173866984275,39,38,38,35,1,-0.9166710457710512,-1.0412083918704844,-0.8096215896524316,-0.5197418208316668
Azzedine Ounahi,Girona FC,4.335226512635209,4.190382995049487,4.156337114066889,4.238290379312734,34,39,39,37,-5,-0.9474340515748384,-0.8281834193555238,-1.2583155668473212,-1.0496781041618917
Miguel Román,Celta Vigo,4.474848025187709,4.091652696609562,4.033179078549857,4.179183905799308,32,40,41,41,-8,-1.0426115953691122,-0.729094416047476,-1.8070933984369781,-1.3818769683390477
Lucas Gourna-Douath,Le Havre,3.9698714741290293,3.9699684146183505,3.8534950759914124,4.18758760211765,42,41,44,40,1,-1.1836029352663588,-1.1837291816704594,-1.6840545315663467,-0.5157870724486053
Hakon Arnar Haraldsson,Lille,4.004419397291544,3.9501298487062804,4.077304492918829,3.824024427911805,41,42,40,43,-1,-1.210007351939295,-1.1403226022513655,-0.9041962410529913,-1.9197227484353956
Bilal El Khannouss,VfB Stuttgart,4.066453300088337,3.8927719977050814,3.9480765714299224,3.830062785493464,40,43,42,42,-3,-1.2937021635099302,-1.0693142780797118,-1.479295820281639,-2.0185914580119304
Nabil Bentaleb,Lille,3.9301397050640903,3.835094384610051,3.8889345832905247,3.775722742508516,43,44,43,44,-1,-1.3921131977558416,-1.2378487670437428,-1.4147157185162083,-2.030455703161114
Ísak Bergmann Jóhannesson,1. FC Köln,3.723424832973714,3.775297680527651,3.840992212062572,3.7093951009011765,45,45,45,45,0,-1.5162491061851726,-1.6526059434443066,-0.8772623597479775,-1.7773518066451857
